<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BTSX.ETH/USD;60;20180102;110000;847.9800000;850.2400000;844.5500000;849.7500000;2360
BTSX.ETH/USD;60;20180102;120000;849.7400000;852.2400000;837.9400000;842.1800000;2560
BTSX.ETH/USD;60;20180102;130000;842.1800000;843.5100000;832.0200000;843.5100000;2938
BTSX.ETH/USD;60;20180102;140000;843.5100000;853.9800000;842.8800000;853.9800000;3319
BTSX.ETH/USD;60;20180102;150000;853.9800000;858.8800000;846.0100000;852.6900000;3102
BTSX.ETH/USD;60;20180102;160000;852.6800000;855.0000000;845.0000000;849.0000000;2465
BTSX.ETH/USD;60;20180102;170000;848.9300000;867.0000000;846.3200000;867.0000000;6533
BTSX.ETH/USD;60;20180102;180000;867.0000000;870.0000000;861.3800000;866.4100000;4993
BTSX.ETH/USD;60;20180102;190000;866.4200000;873.0000000;862.2600000;866.0100000;6673
BTSX.ETH/USD;60;20180102;200000;866.0100000;874.9000000;865.0800000;865.9500000;6270
BTSX.ETH/USD;60;20180102;210000;865.9400000;870.0000000;865.9300000;869.9300000;5597
BTSX.ETH/USD;60;20180102;220000;869.9300000;873.0000000;844.3600000;856.0800000;11059
BTSX.ETH/USD;60;20180102;230000;856.0800000;856.0800000;820.4000000;853.7500000;16583
BTSX.ETH/USD;60;20180103;000000;853.0100000;863.8500000;845.0000000;862.8000000;5266
BTSX.ETH/USD;60;20180103;010000;862.7900000;869.8900000;856.3600000;866.8000000;5773
BTSX.ETH/USD;60;20180103;020000;866.7900000;868.5000000;849.6400000;860.0000000;4870
BTSX.ETH/USD;60;20180103;030000;859.9900000;871.9900000;859.9900000;865.0000000;5962
BTSX.ETH/USD;60;20180103;040000;865.0000000;886.2400000;864.9900000;881.8800000;9724
BTSX.ETH/USD;60;20180103;050000;881.8800000;886.9500000;866.0000000;872.4000000;8664
BTSX.ETH/USD;60;20180103;060000;872.3900000;872.4800000;861.0100000;864.0000000;6358
BTSX.ETH/USD;60;20180103;070000;864.0000000;870.4000000;860.9000000;863.3100000;4574
BTSX.ETH/USD;60;20180103;080000;863.3100000;868.3000000;855.0000000;867.8100000;5231
BTSX.ETH/USD;60;20180103;090000;867.8100000;876.9700000;867.8000000;876.9700000;4818
BTSX.ETH/USD;60;20180103;100000;876.9700000;880.0700000;874.2600000;879.9900000;3258
BTSX.ETH/USD;60;20180103;110000;879.9900000;883.0000000;878.0000000;882.8600000;2943
BTSX.ETH/USD;60;20180103;120000;882.8600000;882.8600000;875.0000000;875.1900000;2737
BTSX.ETH/USD;60;20180103;130000;875.1900000;875.8000000;861.2600000;862.3400000;5200
BTSX.ETH/USD;60;20180103;140000;862.3300000;863.0000000;850.1100000;862.7100000;4602
BTSX.ETH/USD;60;20180103;150000;862.7100000;873.0000000;862.7000000;872.8000000;2903
BTSX.ETH/USD;60;20180103;160000;872.8000000;873.1000000;856.3000000;861.7500000;3663
BTSX.ETH/USD;60;20180103;170000;861.7500000;874.8500000;860.8600000;873.9900000;4618
BTSX.ETH/USD;60;20180103;180000;873.9600000;881.0000000;873.9600000;876.5800000;4682
BTSX.ETH/USD;60;20180103;190000;876.5900000;885.2300000;874.5000000;880.6600000;7782
BTSX.ETH/USD;60;20180103;200000;880.6600000;883.8300000;870.5300000;876.0000000;5546
BTSX.ETH/USD;60;20180103;210000;876.0000000;882.4300000;875.9900000;881.3300000;4734
BTSX.ETH/USD;60;20180103;220000;880.7200000;923.9900000;880.5000000;919.6200000;19350
BTSX.ETH/USD;60;20180103;230000;920.0000000;932.9800000;903.8700000;920.0000000;17278
BTSX.ETH/USD;60;20180104;000000;920.0000000;926.8800000;910.8900000;918.2200000;8014
BTSX.ETH/USD;60;20180104;010000;918.2200000;933.0000000;916.0000000;927.0700000;8389
BTSX.ETH/USD;60;20180104;020000;927.0700000;947.0000000;925.0000000;943.3900000;11703
BTSX.ETH/USD;60;20180104;030000;943.4000000;949.9800000;932.0000000;938.3100000;9497
BTSX.ETH/USD;60;20180104;040000;938.1600000;940.0000000;925.6000000;938.4000000;6670
BTSX.ETH/USD;60;20180104;050000;938.4100000;939.9300000;925.9500000;925.9600000;6543
BTSX.ETH/USD;60;20180104;060000;925.9600000;934.7600000;925.9500000;932.8000000;8518
BTSX.ETH/USD;60;20180104;070000;932.8000000;938.0000000;925.0000000;925.2000000;6074
BTSX.ETH/USD;60;20180104;080000;925.2000000;933.9900000;920.1000000;931.0700000;4823
BTSX.ETH/USD;60;20180104;090000;931.0700000;938.1200000;920.6400000;936.0100000;5959
BTSX.ETH/USD;60;20180104;100000;936.0100000;942.6500000;929.9000000;936.3600000;5209
BTSX.ETH/USD;60;20180104;110000;936.3700000;940.0000000;930.5000000;937.9700000;5812
BTSX.ETH/USD;60;20180104;120000;937.9700000;946.0000000;922.0000000;923.9800000;7218
BTSX.ETH/USD;60;20180104;130000;923.9800000;929.6200000;906.0100000;925.9100000;4543
BTSX.ETH/USD;60;20180104;140000;925.9100000;938.0000000;925.9100000;931.7300000;2879
BTSX.ETH/USD;60;20180104;150000;931.7300000;947.0000000;928.3800000;946.9900000;3216
BTSX.ETH/USD;60;20180104;160000;947.0000000;949.9100000;938.1200000;943.4900000;4530
BTSX.ETH/USD;60;20180104;170000;943.4900000;979.0000000;941.1600000;979.0000000;11531
BTSX.ETH/USD;60;20180104;180000;979.0000000;994.8900000;974.7700000;990.2500000;15500
BTSX.ETH/USD;60;20180104;190000;990.7300000;993.2600000;983.0000000;993.2100000;10783
BTSX.ETH/USD;60;20180104;200000;993.2000000;993.2100000;980.0300000;986.9900000;8271
BTSX.ETH/USD;60;20180104;210000;986.9900000;987.7600000;975.5000000;982.2700000;8072
BTSX.ETH/USD;60;20180104;220000;982.2700000;982.2700000;958.5000000;958.5000000;7715
BTSX.ETH/USD;60;20180104;230000;958.5000000;965.0000000;946.0000000;953.0100000;11146
BTSX.ETH/USD;60;20180105;000000;953.0100000;954.4000000;912.8800000;946.9600000;12367
BTSX.ETH/USD;60;20180105;010000;946.9500000;959.9900000;934.0000000;956.3800000;8255
BTSX.ETH/USD;60;20180105;020000;956.0000000;959.4400000;947.9900000;949.3200000;4112
BTSX.ETH/USD;60;20180105;030000;949.3200000;957.8700000;948.0100000;949.0000000;4490
BTSX.ETH/USD;60;20180105;040000;949.0000000;956.9800000;942.0000000;956.9800000;4221
BTSX.ETH/USD;60;20180105;050000;956.9800000;975.7200000;956.9800000;972.2300000;7307
BTSX.ETH/USD;60;20180105;060000;972.2400000;979.7600000;970.0000000;979.7600000;4877
BTSX.ETH/USD;60;20180105;070000;979.7600000;988.4500000;975.7500000;988.4500000;10120
BTSX.ETH/USD;60;20180105;080000;988.4500000;996.9000000;971.2000000;995.0000000;12862
BTSX.ETH/USD;60;20180105;090000;995.0000000;996.2500000;984.0000000;994.0000000;5664
BTSX.ETH/USD;60;20180105;100000;994.0000000;1013.3500000;990.0000000;1004.0000000;17109
BTSX.ETH/USD;60;20180105;110000;1004.0000000;1009.9900000;991.1100000;999.9900000;5288
BTSX.ETH/USD;60;20180105;120000;1000.0000000;1015.0000000;1000.0000000;1007.2000000;5003
BTSX.ETH/USD;60;20180105;130000;1007.2000000;1007.2000000;975.2000000;988.8700000;8541
BTSX.ETH/USD;60;20180105;140000;988.8600000;1000.0000000;974.2600000;976.3500000;6120
BTSX.ETH/USD;60;20180105;150000;976.3500000;996.0000000;976.3500000;995.7800000;3234
BTSX.ETH/USD;60;20180105;160000;995.7800000;997.9100000;981.5200000;990.0000000;5050
BTSX.ETH/USD;60;20180105;170000;990.0000000;991.5000000;974.2600000;976.6300000;5131
BTSX.ETH/USD;60;20180105;180000;976.6300000;980.5100000;974.5000000;977.3200000;4272
BTSX.ETH/USD;60;20180105;190000;977.3100000;980.0100000;972.0000000;976.1500000;4138
BTSX.ETH/USD;60;20180105;200000;976.1700000;977.0000000;953.0000000;956.2600000;7264
BTSX.ETH/USD;60;20180105;210000;956.2500000;966.0100000;935.0000000;943.1200000;9059
BTSX.ETH/USD;60;20180105;220000;943.0000000;962.9700000;940.2400000;960.9600000;6173
BTSX.ETH/USD;60;20180105;230000;960.9500000;979.0000000;955.0000000;968.3900000;9430
BTSX.ETH/USD;60;20180106;000000;968.3900000;983.5500000;963.4900000;970.0200000;6176
BTSX.ETH/USD;60;20180106;010000;970.0200000;970.0200000;956.9900000;962.4800000;6608
BTSX.ETH/USD;60;20180106;020000;962.4900000;967.0000000;946.7900000;953.4300000;4853
BTSX.ETH/USD;60;20180106;030000;953.4000000;975.0000000;950.0000000;969.2700000;4904
BTSX.ETH/USD;60;20180106;040000;969.2700000;979.0000000;966.9000000;974.4400000;4047
BTSX.ETH/USD;60;20180106;050000;974.4400000;975.0000000;963.5500000;970.5000000;3360
BTSX.ETH/USD;60;20180106;060000;970.5000000;981.0000000;961.2300000;980.0100000;4846
BTSX.ETH/USD;60;20180106;070000;980.0100000;984.1000000;965.4200000;967.9700000;5007
BTSX.ETH/USD;60;20180106;080000;967.9800000;981.0000000;966.0300000;979.6100000;4896
BTSX.ETH/USD;60;20180106;090000;979.6000000;993.0000000;979.0800000;979.1300000;3442
BTSX.ETH/USD;60;20180106;100000;979.1200000;989.9100000;979.1000000;989.1800000;2409
BTSX.ETH/USD;60;20180106;110000;989.1700000;994.5100000;986.0000000;992.0000000;2293
BTSX.ETH/USD;60;20180106;120000;992.0000000;992.2500000;987.7000000;991.9400000;1518
BTSX.ETH/USD;60;20180106;130000;991.9400000;995.0000000;984.5500000;995.0000000;1604
BTSX.ETH/USD;60;20180106;140000;995.0000000;996.6500000;991.1400000;995.5900000;1039
BTSX.ETH/USD;60;20180106;150000;995.5900000;997.1600000;994.0200000;996.4200000;1683
BTSX.ETH/USD;60;20180106;160000;996.4200000;997.0000000;988.1300000;994.0000000;1822
BTSX.ETH/USD;60;20180106;170000;994.0100000;995.9100000;988.7500000;990.4300000;1926
BTSX.ETH/USD;60;20180106;180000;990.4300000;996.5000000;988.1900000;995.9700000;2422
BTSX.ETH/USD;60;20180106;190000;995.9800000;1007.0000000;995.9700000;1003.3900000;6559
BTSX.ETH/USD;60;20180106;200000;1003.5200000;1006.0000000;998.0000000;998.1200000;5377
BTSX.ETH/USD;60;20180106;210000;998.1200000;1005.4400000;993.0000000;1001.5400000;4048
BTSX.ETH/USD;60;20180106;220000;1001.5400000;1002.9200000;991.5000000;994.5000000;3860
BTSX.ETH/USD;60;20180106;230000;994.4900000;1003.0000000;994.4900000;1003.0000000;4576
BTSX.ETH/USD;60;20180107;000000;1003.0000000;1008.0000000;1002.9800000;1007.1300000;3193
BTSX.ETH/USD;60;20180107;010000;1007.1300000;1007.1300000;1000.1000000;1006.9900000;2490
BTSX.ETH/USD;60;20180107;020000;1006.9900000;1009.1100000;1000.0100000;1003.7800000;2862
BTSX.ETH/USD;60;20180107;030000;1003.7800000;1008.0000000;1002.3800000;1006.6800000;3322
BTSX.ETH/USD;60;20180107;040000;1006.6800000;1008.9400000;1003.0200000;1006.9700000;3013
BTSX.ETH/USD;60;20180107;050000;1006.9600000;1012.1400000;1006.2500000;1012.1400000;4244
BTSX.ETH/USD;60;20180107;060000;1012.1400000;1022.9800000;1012.1300000;1016.5100000;6397
BTSX.ETH/USD;60;20180107;070000;1016.5100000;1045.0000000;1014.6200000;1045.0000000;9085
BTSX.ETH/USD;60;20180107;080000;1045.0000000;1048.6600000;1032.2200000;1039.9700000;7051
BTSX.ETH/USD;60;20180107;090000;1039.9600000;1075.0000000;1039.9600000;1075.0000000;10011
BTSX.ETH/USD;60;20180107;100000;1075.0000000;1075.0000000;1040.0000000;1059.2700000;5675
BTSX.ETH/USD;60;20180107;110000;1059.2700000;1070.0000000;1058.1400000;1070.0000000;4129
BTSX.ETH/USD;60;20180107;120000;1069.9900000;1073.1500000;1065.7200000;1072.7500000;2304
BTSX.ETH/USD;60;20180107;130000;1072.7600000;1079.6300000;1070.6400000;1077.3100000;2170
BTSX.ETH/USD;60;20180107;140000;1077.3100000;1086.2600000;1075.6300000;1082.4600000;2183
BTSX.ETH/USD;60;20180107;150000;1082.5200000;1083.5000000;1071.8100000;1073.5700000;2037
BTSX.ETH/USD;60;20180107;160000;1073.5700000;1077.0000000;1065.9500000;1073.4600000;2129
BTSX.ETH/USD;60;20180107;170000;1073.4700000;1073.6700000;1053.8100000;1062.9900000;3439
BTSX.ETH/USD;60;20180107;180000;1062.9900000;1077.0400000;1062.9900000;1075.0000000;2681
BTSX.ETH/USD;60;20180107;190000;1075.0000000;1088.9900000;1068.9900000;1088.9900000;3990
BTSX.ETH/USD;60;20180107;200000;1088.9800000;1098.3000000;1079.9400000;1090.0000000;5651
BTSX.ETH/USD;60;20180107;210000;1090.0000000;1098.5000000;1082.8000000;1088.8400000;6031
BTSX.ETH/USD;60;20180107;220000;1088.8300000;1093.0000000;1064.0800000;1080.4300000;5435
BTSX.ETH/USD;60;20180107;230000;1080.4300000;1095.0000000;1080.4300000;1094.5700000;3281
BTSX.ETH/USD;60;20180108;000000;1094.5900000;1098.8700000;1093.0000000;1093.0100000;3728
BTSX.ETH/USD;60;20180108;010000;1093.0000000;1095.0000000;1082.3900000;1093.0000000;2348
BTSX.ETH/USD;60;20180108;020000;1092.9400000;1093.0000000;1079.1900000;1090.3500000;3138
BTSX.ETH/USD;60;20180108;030000;1090.3500000;1118.3000000;1090.3500000;1118.3000000;8941
BTSX.ETH/USD;60;20180108;040000;1118.3000000;1177.4900000;1110.4100000;1177.4900000;14809
BTSX.ETH/USD;60;20180108;050000;1177.4900000;1179.9900000;1150.0000000;1157.1500000;11245
BTSX.ETH/USD;60;20180108;060000;1157.1500000;1168.0000000;1141.0200000;1163.9900000;7864
BTSX.ETH/USD;60;20180108;070000;1164.0000000;1196.6100000;1161.9900000;1191.9400000;12391
BTSX.ETH/USD;60;20180108;080000;1191.9400000;1228.3000000;1187.3000000;1227.0000000;11277
BTSX.ETH/USD;60;20180108;090000;1227.0100000;1228.9900000;1169.0000000;1192.8000000;13460
BTSX.ETH/USD;60;20180108;100000;1192.8000000;1225.0000000;1185.0600000;1224.9900000;5577
BTSX.ETH/USD;60;20180108;110000;1225.0000000;1225.5000000;1186.6600000;1186.6700000;4882
BTSX.ETH/USD;60;20180108;120000;1186.6700000;1192.7700000;1146.0100000;1150.8300000;6176
BTSX.ETH/USD;60;20180108;130000;1151.4300000;1159.4200000;1104.1000000;1130.0100000;6583
BTSX.ETH/USD;60;20180108;140000;1130.0100000;1155.5000000;1115.0300000;1144.9800000;3579
BTSX.ETH/USD;60;20180108;150000;1144.9700000;1154.7900000;1118.1700000;1143.5100000;3073
BTSX.ETH/USD;60;20180108;160000;1143.5100000;1145.0000000;1130.5900000;1140.0000000;2936
BTSX.ETH/USD;60;20180108;170000;1139.9900000;1148.0000000;1057.9100000;1079.0000000;9813
BTSX.ETH/USD;60;20180108;180000;1079.0000000;1081.5900000;1017.4200000;1017.4600000;12023
BTSX.ETH/USD;60;20180108;190000;1017.4600000;1109.9900000;950.2300000;1074.9900000;21597
BTSX.ETH/USD;60;20180108;200000;1074.9900000;1116.8000000;1070.1200000;1113.1900000;11119
BTSX.ETH/USD;60;20180108;210000;1114.8800000;1117.0000000;1076.0000000;1101.0100000;6923
BTSX.ETH/USD;60;20180108;220000;1101.0100000;1136.9600000;1093.0700000;1135.0100000;8332
BTSX.ETH/USD;60;20180108;230000;1135.0100000;1159.0000000;1131.8000000;1149.8000000;10842
BTSX.ETH/USD;60;20180109;000000;1149.8000000;1154.9700000;1116.6000000;1141.4500000;7618
BTSX.ETH/USD;60;20180109;010000;1141.4500000;1173.7700000;1136.9900000;1158.8000000;6069
BTSX.ETH/USD;60;20180109;020000;1158.8000000;1160.0000000;1132.5000000;1133.0000000;6207
BTSX.ETH/USD;60;20180109;030000;1133.0000000;1143.7000000;1110.0000000;1137.0100000;6019
